Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-11-27T23:00:00.000Z,3792.1923641199,3640.9379250251,3830.8201418608,3559.3240649925
BTC,2018-11-28T22:59:59.000Z,4174.31997237,3792.1959942366,4341.4399220735,3752.4461786953
BTC,2018-11-29T23:00:00.000Z,4218.6083631146,4220.3233352743,4400.4625831009,4082.3198208161
BTC,2018-11-30T22:59:59.000Z,3952.4478953992,4241.7446996734,4299.9763743864,3878.6581009553
BTC,2018-12-01T22:59:59.000Z,4178.60382773,3953.5214624664,4251.3699479575,3904.3941906643
BTC,2018-12-02T22:59:59.000Z,4118.5182417699,4138.477059627,4255.9540212471,4038.0985836485
BTC,2018-12-03T22:59:59.000Z,3847.0327374089,4092.8511149115,4104.8589568089,3755.3260924828
BTC,2018-12-04T22:59:58.000Z,3889.2921196935,3847.0204604306,4034.5315580589,3724.0033427821
BTC,2018-12-05T22:59:58.000Z,3713.5733827508,3889.292261066,3913.5317755509,3675.5414837475
BTC,2018-12-06T22:59:59.000Z,3578.2066240384,3696.3514674753,3838.1209766583,3547.0139392787
BTC,2018-12-07T22:59:59.000Z,3391.8741459694,3578.2072060032,3621.5012565288,3201.7627967705
BTC,2018-12-08T23:00:00.000Z,3452.6161853921,3391.8781755963,3475.9301775671,3251.8357967294
BTC,2018-12-09T22:59:59.000Z,3507.3063671956,3452.5884991144,3642.4148503997,3374.3669866557
BTC,2018-12-10T23:00:00.000Z,3419.7337684576,3528.1202013162,3591.2367342495,3355.6425528589
BTC,2018-12-11T22:59:58.000Z,3360.9466282566,3409.1628817491,3428.1004177574,3294.037452444
BTC,2018-12-12T22:59:59.000Z,3414.8337488292,3360.9561908129,3474.3913555499,3324.9251795167
BTC,2018-12-13T22:59:59.000Z,3263.5479129873,3427.0497290106,3435.1424732744,3233.263656101
BTC,2018-12-14T22:59:59.000Z,3212.207080727,3262.2716827669,3300.6513939453,3138.099493695
BTC,2018-12-15T23:00:00.000Z,3194.96227244,3212.2071589501,3227.8674198728,3122.3427164835
BTC,2018-12-16T22:59:58.000Z,3200.6424680869,3178.299354793,3256.6003258844,3176.3530149734
BTC,2018-12-17T22:59:59.000Z,3478.461202649,3199.1762645654,3579.8148841419,3181.7013948425
BTC,2018-12-18T22:59:58.000Z,3562.8949463603,3478.4609900005,3573.2403351297,3429.858731473
BTC,2018-12-19T22:59:59.000Z,3709.3167592101,3664.6588290579,3929.0984909421,3642.8286649922
BTC,2018-12-20T22:59:59.000Z,4065.7999528499,3709.3235319539,4160.2967260415,3662.7434387839
BTC,2018-12-21T22:59:59.000Z,3824.7397939051,4065.7736166509,4164.5506507301,3774.3236836839
BTC,2018-12-22T23:00:00.000Z,3862.7263286473,3838.2303868152,3929.8595909537,3791.9053752251
BTC,2018-12-23T22:59:59.000Z,3949.7943416583,3862.7263285159,4052.2305472168,3862.7229992528
BTC,2018-12-24T22:59:58.000Z,4054.2962598168,3942.7377761177,4241.4361339864,3942.6694475586
BTC,2018-12-25T22:59:59.000Z,3767.3500239009,4030.0034134892,4045.5720841772,3677.0436490123
BTC,2018-12-26T22:59:58.000Z,3807.1530224727,3767.8721036119,3869.4011644061,3682.6818450797
BTC,2018-12-27T22:59:58.000Z,3587.1982229208,3809.2952035809,3842.3117925732,3571.1523760499
BTC,2018-12-28T22:59:58.000Z,3865.5293004371,3587.2353507323,3945.2446489655,3558.7377173657
BTC,2018-12-31T22:59:59.000Z,3689.5646203364,3689.9723378682,3690.3067917937,3689.4751199481
BTC,2019-01-01T22:59:58.000Z,3715.5644411293,3693.3300666654,3741.8818553972,3644.8762824863
BTC,2019-01-02T22:59:59.000Z,3882.304754348,3715.5643838661,3900.7091270403,3711.2741076363
BTC,2019-01-03T23:00:00.000Z,3795.5927412969,3882.3036216798,3916.1976844374,3760.9440417808
BTC,2019-01-04T22:59:59.000Z,3812.3811076791,3781.020705993,3844.986111038,3725.7396632966
BTC,2019-01-05T23:00:00.000Z,3809.9143429619,3812.3811191955,3866.4174315002,3775.8288779968
BTC,2019-01-06T22:59:59.000Z,4014.1331870739,3797.0340970819,4063.9453560949,3758.5165264648
BTC,2019-01-07T23:00:00.000Z,3989.6317409326,4032.4591655851,4060.8647998529,3526.1392784483
BTC,2019-01-08T22:59:59.000Z,3992.9861439065,3989.6317529072,4096.3830349478,3947.0359235851
BTC,2019-01-09T23:00:00.000Z,3995.3251931641,3981.9382996592,4023.7344900783,3965.9763463782
BTC,2019-01-10T22:59:59.000Z,3617.3462911588,3995.3251807214,4025.5283108917,3570.076959892
BTC,2019-01-11T22:59:59.000Z,3606.1648903844,3617.268962197,3676.7323463205,3572.6749793622
BTC,2019-01-12T23:00:00.000Z,3611.5282378524,3609.1295656008,3644.3441048105,3564.6278890838
BTC,2019-01-13T23:00:00.000Z,3497.6693915005,3614.4208481332,3642.0477232305,3480.8328903724
BTC,2019-01-14T22:59:59.000Z,3654.3470673605,3497.6696152725,3696.0690013667,3488.7187151541
BTC,2019-01-15T22:59:59.000Z,3568.7512587366,3653.6803179504,3679.7036556421,3544.4295513188
BTC,2019-01-16T22:59:59.000Z,3593.7217397683,3568.6826659047,3662.9187293804,3567.1487961193
BTC,2019-01-17T22:59:59.000Z,3623.717336702,3603.5516365649,3644.7312977719,3546.3096872144
BTC,2019-01-18T22:59:59.000Z,3605.8551868777,3623.7175000563,3641.9610380994,3578.4253177178
BTC,2019-01-19T22:59:59.000Z,3690.9085636878,3605.8551173227,3735.3565403606,3602.420476252
BTC,2019-01-20T22:59:59.000Z,3544.2217242808,3680.2847465733,3701.4548021804,3490.7036841512
BTC,2019-01-21T22:59:59.000Z,3528.4635294479,3544.221815669,3558.2338181581,3496.6026418546
BTC,2019-01-22T23:00:00.000Z,3581.5519472363,3528.463928169,3605.7416768987,3444.6864706167
BTC,2019-01-23T22:59:59.000Z,3549.770799097,3572.6889495791,3608.8769021965,3521.835474332
BTC,2019-01-24T22:59:59.000Z,3562.9204764613,3555.8619611779,3591.5938974426,3530.5473093896
BTC,2019-01-25T22:59:59.000Z,3566.6661636996,3571.8088869481,3574.1243701222,3522.4241867044
